Date,Open,High,Low,Close,Adj Close,Volume
1/1/2000,3.745536,4.339286,3.089286,3.705357,3.216401,3138794400.00
2/1/2000,3.714286,4.283482,3.464286,4.093750,3.553542,1829945600.00
3/1/2000,4.234375,5.370536,4.071429,4.850446,4.210384,2174589200.00
4/1/2000,4.839286,4.982143,3.745536,4.430804,3.846120,2165601200.00
5/1/2000,4.459821,4.508929,2.919643,3.000000,2.604123,2451937600.00
6/1/2000,2.919643,4.116071,2.870536,3.741071,3.247403,2026301200.00
7/1/2000,3.723214,4.330357,3.348214,3.629464,3.150523,1436692600.00
8/1/2000,3.593750,4.392857,3.160714,4.352679,3.778303,1409021600.00
9/1/2000,4.379464,4.580357,1.812500,1.839286,1.596575,3629232600.00
10/1/2000,1.906250,1.910714,1.250000,1.397321,1.212932,5476447200.00
11/1/2000,1.388393,1.642857,1.151786,1.178571,1.023048,2122093400.00
12/1/2000,1.214286,1.250000,0.973214,1.062500,0.922293,2214742600.00
1/1/2001,1.062500,1.607143,1.031250,1.544643,1.340813,3427365200.00
2/1/2001,1.477679,1.566964,1.285714,1.303571,1.131553,1755941600.00
3/1/2001,1.272321,1.696429,1.227679,1.576429,1.368404,2699765600.00
4/1/2001,1.577857,1.937143,1.339286,1.820714,1.580454,2789747800.00
5/1/2001,1.815000,1.907143,1.378571,1.425000,1.236958,1867108600.00
6/1/2001,1.437857,1.792857,1.382143,1.660714,1.441568,1909566400.00
7/1/2001,1.688571,1.801429,1.275000,1.342143,1.165035,2163775600.00
8/1/2001,1.357857,1.421429,1.234286,1.325000,1.150154,1282339800.00
9/1/2001,1.321429,1.362857,1.048571,1.107857,0.961665,1382880800.00
10/1/2001,1.106429,1.387143,1.059286,1.254286,1.088771,1886061800.00
11/1/2001,1.260714,1.539286,1.232143,1.521429,1.320662,1342436200.00
12/1/2001,1.504286,1.716429,1.435000,1.564286,1.357864,1157459800.00
1/1/2002,1.575000,1.766429,1.446429,1.765714,1.532712,2128844200.00
2/1/2002,1.738571,1.855714,1.495714,1.550000,1.345463,1959356000.00
3/1/2002,1.566429,1.807143,1.558571,1.690714,1.467609,1329645800.00
4/1/2002,1.670000,1.869286,1.642857,1.733571,1.504811,1605709000.00
5/1/2002,1.735000,1.855714,1.581429,1.664286,1.444668,1494039400.00
6/1/2002,1.670714,1.675000,1.141429,1.265714,1.098692,2177004200.00
7/1/2002,1.265000,1.342143,0.985714,1.090000,0.946164,2029603800.00
8/1/2002,1.079286,1.160714,0.997857,1.053571,0.914543,1287921600.00
9/1/2002,1.035000,1.085000,1.003571,1.035714,0.899042,1322959400.00
10/1/2002,1.042143,1.174286,0.954286,1.147857,0.996387,1652858200.00
11/1/2002,1.138571,1.241429,1.072143,1.107143,0.961045,1132930400.00
12/1/2002,1.135714,1.150000,0.984286,1.023571,0.888502,1132609800.00
1/1/2003,1.025714,1.098571,0.968571,1.025714,0.890362,1511458200.00
2/1/2003,1.029286,1.092857,0.985714,1.072143,0.930663,1028575800.00
3/1/2003,1.072143,1.082857,1.002857,1.010000,0.876721,1007101200.00
4/1/2003,1.014286,1.067857,0.908571,1.015714,0.881682,1943835600.00
5/1/2003,1.017857,1.357857,1.000000,1.282143,1.112952,2702886200.00
6/1/2003,1.292857,1.406429,1.187857,1.361429,1.181776,1528333800.00
7/1/2003,1.347857,1.540714,1.322143,1.505714,1.307022,1304567600.00
8/1/2003,1.500000,1.632143,1.387143,1.615000,1.401886,1076891200.00
9/1/2003,1.618571,1.665714,1.439286,1.480000,1.284700,1336871200.00
10/1/2003,1.479286,1.786429,1.442143,1.635000,1.419247,1760047800.00
11/1/2003,1.630714,1.664286,1.417857,1.493571,1.296481,1243526200.00
12/1/2003,1.502857,1.564286,1.375000,1.526429,1.325002,1363468400.00
1/1/2004,1.539286,1.774286,1.512857,1.611429,1.398786,1981950600.00
2/1/2004,1.604286,1.721429,1.550000,1.708571,1.483110,1230507600.00
3/1/2004,1.721429,2.010000,1.685714,1.931429,1.676559,2906528800.00
4/1/2004,1.920714,2.112857,1.820714,1.841429,1.598435,2232543600.00
5/1/2004,1.857143,2.055714,1.821429,2.004286,1.739802,1326068800.00
6/1/2004,1.985000,2.442143,1.972143,2.324286,2.017575,2056808600.00
7/1/2004,2.292857,2.402143,2.052857,2.310000,2.005173,2424144800.00
8/1/2004,2.227143,2.512857,2.121428,2.463571,2.138481,2002841400.00
9/1/2004,2.450000,2.805000,2.442143,2.767857,2.402613,1918376600.00
10/1/2004,2.794286,3.800000,2.689286,3.742857,3.248953,4023591600.00
11/1/2004,3.750000,4.969285,3.717143,4.789286,4.157295,4359901000.00
12/1/2004,4.842143,4.853571,4.400000,4.600000,3.992987,3987153800.00
1/1/2005,4.627143,5.563571,4.471428,5.492857,4.768025,6427061200.00
2/1/2005,5.503572,6.491428,5.470000,6.408571,5.562901,5362236600.00
3/1/2005,6.427143,6.444286,5.547143,5.952857,5.167323,3668980000.00
4/1/2005,6.012857,6.350000,4.857143,5.151429,4.471652,4843879600.00
5/1/2005,5.172857,5.848571,4.730000,5.680000,4.930471,3214573600.00
6/1/2005,5.698571,5.822857,5.074286,5.258572,4.564655,2831798900.00
7/1/2005,5.261428,6.340000,5.184286,6.092857,5.288849,2523561600.00
8/1/2005,6.081429,6.904286,6.002857,6.698571,5.814632,2350201700.00
9/1/2005,6.714286,7.794286,6.584286,7.658571,6.647953,3086942600.00
10/1/2005,7.737143,8.282857,6.838572,8.227143,7.141496,4660861800.00
11/1/2005,8.177143,10.152857,8.124286,9.688571,8.410074,3364106900.00
