Date,Open,High,Low,Close,Adj Close,Volume
1/1/2000,58.687500,59.312500,47.437500,48.937500,31.398542,1274875200.00
2/1/2000,49.250000,55.000000,44.062500,44.687500,28.671719,1334487600.00
3/1/2000,44.812500,57.500000,44.468750,53.125000,34.085281,2028187600.00
4/1/2000,47.218750,48.250000,32.500000,34.875000,22.375980,2258146600.00
5/1/2000,36.437500,37.000000,30.187500,31.281250,20.070211,1344430800.00
6/1/2000,32.187500,41.093750,31.906250,40.000000,25.664196,1467050200.00
7/1/2000,39.843750,41.437500,33.625000,34.906250,22.396030,1234185800.00
8/1/2000,34.968750,37.437500,34.062500,34.906250,22.396030,1219399800.00
9/1/2000,35.000000,36.031250,29.312500,30.156250,19.348406,1425533800.00
10/1/2000,30.250000,35.062500,24.218750,34.437500,22.095272,2469415600.00
11/1/2000,34.250000,36.187500,28.500000,28.687500,18.406046,1983462600.00
12/1/2000,29.031250,30.312500,20.156250,21.687500,13.914813,2056668200.00
1/1/2001,22.062500,32.375000,21.437500,30.531250,19.589005,2005531200.00
2/1/2001,30.406250,32.531250,26.937500,29.500000,18.927351,1536895600.00
3/1/2001,29.281250,30.562500,24.875000,27.343750,17.543888,1895349800.00
4/1/2001,27.406250,35.549999,25.531250,33.875000,21.734371,2075807000.00
5/1/2001,33.830002,36.075001,33.625000,34.590000,22.193119,1777305800.00
6/1/2001,34.799999,38.075001,33.005001,36.500000,23.418587,1449177800.00
7/1/2001,36.025002,36.575001,32.099998,33.095001,21.233923,1455201000.00
8/1/2001,33.400002,33.770000,28.150000,28.525000,18.301785,1153896400.00
9/1/2001,28.594999,29.540001,23.750000,25.584999,16.415462,1510824400.00
10/1/2001,25.469999,31.815001,25.205000,29.075001,18.654663,1750891000.00
11/1/2001,30.040001,34.169998,29.799999,32.105000,20.598732,1330968600.00
12/1/2001,31.915001,34.945000,31.900000,33.125000,21.253164,977089000.00
1/1/2002,33.325001,35.310001,30.665001,31.855000,20.438335,1360115800.00
2/1/2002,32.075001,32.250000,28.575001,29.170000,18.715624,1131159200.00
3/1/2002,29.525000,32.500000,29.155001,30.155001,19.347605,1073244200.00
4/1/2002,29.915001,30.200001,25.719999,26.129999,16.765141,1417479400.00
5/1/2002,26.080000,28.219999,24.174999,25.455000,16.332054,1420266200.00
6/1/2002,25.495001,28.219999,24.584999,27.350000,17.547897,1834073000.00
7/1/2002,27.059999,27.465000,20.705000,23.990000,15.392109,2432188000.00
8/1/2002,23.790001,26.725000,21.900000,24.540001,15.744993,1715757200.00
9/1/2002,24.260000,25.549999,21.555000,21.870001,14.031905,1695705800.00
10/1/2002,22.160000,27.035000,21.594999,26.735001,17.153318,2475370600.00
11/1/2002,26.215000,29.320000,25.950001,28.840000,18.503889,1555997200.00
12/1/2002,29.325001,29.480000,25.629999,25.850000,16.585497,1268370200.00
1/1/2003,26.150000,28.660000,23.514999,23.730000,15.225286,1718662200.00
2/1/2003,23.965000,24.990000,23.000000,23.700001,15.206044,1346970800.00
3/1/2003,24.020000,26.799999,22.549999,24.209999,15.583211,1371902600.00
